Task,Assigned_Fleet,Origin,Destination,Leg_Count,Expected_Load(%),Revenue,Cost,Profit,Shadow_Price_Summary,Product_Count,Recommendation_Tag,Recommendation_Reason
AA0006,F16C0Y165,MBY,EDB,1,100.0,33981.63,22549.8,11431.83,avg=23.92; max=23.92; positive_legs=1,49,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2018,F16C0Y165,QEY,TFB,1,100.0,15272.42,3911.7,11360.72,avg=5.24; max=5.24; positive_legs=1,173,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2014,F16C0Y165,QEY,TFB,1,100.0,15193.12,3835.0,11358.12,avg=10.20; max=10.20; positive_legs=1,162,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0329,F16C0Y165,TKD,TFB,1,96.24,20421.1,9127.3,11293.8,avg=10.32; max=10.32; positive_legs=1,29,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0603,F16C0Y165,MBT,TFB,1,100.0,23400.7,12118.6,11282.1,avg=22.64; max=22.64; positive_legs=1,75,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0569,F16C0Y165,MBY,QEY,1,100.0,22378.27,11121.5,11256.77,avg=20.64; max=20.64; positive_legs=1,41,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0608,F16C0Y165,TFB,MBT,1,100.0,21891.5,10738.0,11153.5,avg=20.60; max=20.60; positive_legs=1,77,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_BA2474,F0C0Y76,TUT,TUT,2,99.74,19856.5,8723.5,11133.0,avg=12.64; max=19.20; positive_legs=2,26,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0742,F16C0Y165,TFB,BUM,1,100.0,32917.4,21859.5,11057.9,avg=32.48; max=32.48; positive_legs=1,22,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0828,F16C0Y165,LPB,PBL,1,100.0,34481.8,23470.2,11011.6,avg=34.20; max=34.20; positive_legs=1,8,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0465,F16C0Y165,MBY,TFB,1,100.0,22933.03,11965.2,10967.83,avg=19.16; max=19.16; positive_legs=1,68,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0092,F16C0Y165,BOD,TFB,1,68.73,26246.94,15340.0,10906.94,avg=0.00; max=0.00; positive_legs=0,72,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0759,F16C0Y165,NDJ,TFB,1,100.0,28909.7,18024.5,10885.2,avg=20.08; max=20.08; positive_legs=1,26,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0461,F16C0Y165,MBY,TFB,1,100.0,23051.6,12195.3,10856.3,avg=19.60; max=19.60; positive_legs=1,84,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0575,F16C0Y165,TBO,QEY,1,100.0,22459.4,11658.4,10801.0,avg=18.60; max=18.60; positive_legs=1,27,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0531,F16C0Y165,POU,TFB,1,100.0,22646.3,11888.5,10757.8,avg=17.80; max=17.80; positive_legs=1,42,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0533,F16C0Y165,POU,TFB,1,100.0,22873.6,12118.6,10755.0,avg=19.84; max=19.84; positive_legs=1,60,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0755,F16C0Y165,TUM,TFB,1,100.0,30512.4,19788.6,10723.8,avg=25.40; max=25.40; positive_legs=1,17,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0878,F16C0Y165,PHH,TFB,1,98.91,36226.4,25541.1,10685.3,avg=34.24; max=34.24; positive_legs=1,11,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0661,F16C0Y165,EGX,TFB,1,100.0,30069.3,19405.1,10664.2,avg=21.92; max=21.92; positive_legs=1,76,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0709,F16C0Y165,MBY,ZWS,1,98.67,23843.6,13192.4,10651.2,avg=18.48; max=18.48; positive_legs=1,12,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0313,F16C0Y165,TGP,TFB,1,99.03,20081.7,9434.1,10647.6,avg=13.28; max=13.28; positive_legs=1,68,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0507,F16C0Y165,TOB,TFB,1,95.88,22832.7,12195.3,10637.4,avg=3.92; max=3.92; positive_legs=1,40,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0250,F16C0Y165,MBY,TKE,1,94.42,21006.83,10431.2,10575.63,avg=9.28; max=9.28; positive_legs=1,22,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0685,F16C0Y165,EFO,TFB,1,100.0,23645.93,13115.7,10530.23,avg=19.96; max=19.96; positive_legs=1,66,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0312,F0C0Y76,TGP,TGP,2,100.0,18972.3,8444.67,10527.63,avg=16.64; max=17.60; positive_legs=2,33,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0469,F16C0Y165,MBY,TFB,1,100.0,22640.1,12118.6,10521.5,avg=17.60; max=17.60; positive_legs=1,59,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0059,F0C0Y76,TFB,KOV,1,98.95,16223.0,5775.83,10447.17,avg=17.92; max=17.92; positive_legs=1,15,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0583,F16C0Y165,TOB,QEY,1,100.0,21400.57,10968.1,10432.47,avg=17.00; max=17.00; positive_legs=1,42,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0686,F16C0Y165,QEY,PSE,1,100.0,28929.2,18561.4,10367.8,avg=26.44; max=26.44; positive_legs=1,51,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0623,F16C0Y165,MBT,QEY,1,99.64,20843.5,10507.9,10335.6,avg=10.44; max=10.44; positive_legs=1,42,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0212,F16C0Y165,MBY,NAU,1,97.21,21880.0,11581.7,10298.3,avg=16.80; max=16.80; positive_legs=1,6,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0079,F0C0Y76,TFB,KOV,1,100.0,16045.53,5935.17,10110.37,avg=37.16; max=37.16; positive_legs=1,73,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0220,F0C0Y76,TGP,TGP,2,100.0,23782.3,13702.67,10079.63,avg=24.22; max=25.04; positive_legs=2,32,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0836,F16C0Y165,IOM,PBL,1,99.76,33055.2,23010.0,10045.2,avg=28.96; max=28.96; positive_legs=1,10,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0254,F16C0Y165,MBY,QWS,1,100.0,23221.5,13192.4,10029.1,avg=20.24; max=20.24; positive_legs=1,23,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0812,F16C0Y165,PHH,TKD,1,93.58,32958.2,22933.3,10024.9,avg=7.32; max=7.32; positive_legs=1,9,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2296,F16C0Y165,FVH,TFB,1,93.58,14981.4,5062.2,9919.2,avg=1.00; max=1.00; positive_legs=1,83,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0030,F16C0Y165,QEY,CPT,1,100.0,34348.9,24544.0,9804.9,avg=30.68; max=30.68; positive_legs=1,21,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0830,F16C0Y165,IOM,QEY,1,100.0,35498.92,25694.5,9804.42,avg=33.80; max=33.80; positive_legs=1,55,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0645,F16C0Y165,QIY,TFB,1,97.7,23521.6,13806.0,9715.6,avg=13.64; max=13.64; positive_legs=1,63,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0003,F16C0Y165,EDB,TFB,1,95.03,36165.9,26461.5,9704.4,avg=4.96; max=4.96; positive_legs=1,49,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0679,F16C0Y165,EFO,TFB,1,100.0,22735.7,13039.0,9696.7,avg=19.04; max=19.04; positive_legs=1,63,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_AA0232,F16C0Y165,TBO,TBO,2,68.67,31464.67,21782.8,9681.87,avg=0.00; max=0.00; positive_legs=0,39,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0182,F0C0Y76,GBJ,BOD,1,98.16,12038.3,2429.83,9608.47,avg=11.04; max=11.04; positive_legs=1,33,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
super_BA2635,F0C0Y76,TFB,TGP,2,100.0,16548.93,6970.83,9578.1,avg=10.72; max=16.40; positive_legs=2,79,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2624,F16C0Y165,QEY,TFB,1,100.0,13373.0,3835.0,9538.0,avg=2.52; max=2.52; positive_legs=1,230,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
BA2265,F16C0Y165,ZWS,TFB,1,68.85,13369.5,3835.0,9534.5,avg=0.00; max=0.00; positive_legs=0,49,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
super_BA2475,F0C0Y76,TUT,TUT,2,99.47,18343.1,8843.0,9500.1,avg=11.42; max=15.40; positive_legs=2,26,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0457,F16C0Y165,MBY,TFB,1,100.0,21505.4,12041.9,9463.5,avg=18.68; max=18.68; positive_legs=1,59,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
